feature,importance
derived_population_density,833
derived_avg_household_size,785
total_geographical_area_in_hectares,762
agri_area_under_non_agricultural_uses_in_hectares,755
derived_land_per_hh,754
irrig_area_irrigated_by_source_in_hectares,715
derived_gender_ratio,645
irrig_total_unirrigated_land_area_in_hectares,566
irrig_wells_tube_wells_area_in_hectares,535
irrig_net_area_sown_in_hectares,500
derived_total_health_facilities,438
derived_total_schools,370
agri_culturable_waste_land_area_in_hectares,305
agri_clusters,229
irrig_canals_area_in_hectares,222
health_clusters,216
social_clusters,214
edu_clusters,197
agri_barren_&_un_cultivable_land_area_in_hectares,173
agri_rice,169
agri_musturd,160
irrig_clusters,141
edu_total_secondary_schools,119
infra_clusters,115
infra_distance,113
infra_distance_7,112
health_primary_heallth_sub_centre_numbers,112
health_primary_heallth_sub_centre_doctors_total_strength_numbers,106
social_distance_7,104
irrig_tank_pond_lake_functioning_all_round_the_year,97
irrig_hand_pump_functioning,95
edu_distance,94
edu_distance_4,90
edu_total_middle_schools,88
social_distance_1,88
infra_distance_9,85
health_distance_2,82
infra_no_system_garbage_on_road_street,79
health_distance_7,78
agri_current_fallows_area_in_hectares,76
infra_water_treatment_sewar_plants,75
irrig_well_functioning,75
irrig_tube_wells_borehole_functioning,71
health_distance_8,71
health_distance,71
edu_total_senior_secondary_schools,68
social_sports_field,67
health_distance_4,66
infra_distance_2,65
infra_distance_4,65
edu_distance_8,65
edu_total_pre_primary_school,65
social_agricultural_credit_societies,64
health_distance_3,61
edu_distance_7,61
edu_distance_2,60
health_distance_10,60
health_distance_1,58
social_mandis_regular_market,58
infra_post_office_or_sub_post_office,56
health_distance_9,56
infra_private_bus_service_status_a1_na2,56
edu_distance_3,55
social_distance_6,53
infra_closed_drainage,53
infra_distance_3,52
health_distance_6,51
agri_wheat,51
agri_others,51
social_distance_8,50
derived_is_urban,50
agri_forest_area_in_hectares,49
infra_pco,47
irrig_river_canal_functioning_all_round_the_year,46
health_primary_heallth_sub_centre_doctors_in_position_numbers,45
health_distance_5,45
edu_distance_1,45
social_distance_4,44
social_community_centre_with_without_tv,43
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,42
health_primary_health_centre_doctors_total_strength_numbers,42
social_distance_3,40
edu_distance10,39
social_weekly_haat,37
infra_distance_6,37
social_distance_9,37
social_distance_2,37
edu_distance_5,36
irrig_river_canal_status,36
health_veterinary_hospital_doctors_in_position_numbers,35
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,35
health_maternity_and_child_welfare_centre_numbers,35
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,34
health_veterinary_hospital_doctors_total_strength_numbers,34
infra_distance_1,32
infra_highways,29
edu_total_management_institute,28
health_veterinary_hospital_numbers,28
health_dispensary_doctors_in_position_numbers,27
edu_total_vocational_training_school_iti,27
edu_distance_6,27
social_distance_10,25
infra_total_sanitation_campaign_tsc,25
agri_fallows_land_other_than_current_fallows_area_in_hectares,23
infra_internet_cafes_common_service_centre_csc,23
social_sports_club_recreation_centre,23
social_agricultural_marketing_society,23
infra_distance_5,22
infra_community_waste_disposal_system_after_house_to_house_collection,22
health_dispensary_doctors_total_strength_numbers,21
infra_community_toilet_complex,21
health_community_health_centre_numbers,21
health_primary_health_centre_doctors_in_position_numbers,21
infra_railway_station,21
social_banks_on_any_kind,20
edu_distance_9,19
infra_public_bus_service,19
infra_private_courier_facility,17
infra_community_bio_gas_or_recycle_of_waste_for_production_use,15
health_primary_health_centre_numbers,15
irrig_other_source_specify_area_in_hectares,15
infra_open_drainage,14
infra_other_transport_auto_van_rickshaw_etc,13
social_assembly_polling_station,12
social_distance_5,12
infra_telephone,10
edu_total_engineering_college,10
health_dispensary_numbers,9
health_total_positions_doctors_support,9
social_asha,9
irrig_tanks_lakes_area_in_hectares,7
social_public_library,6
infra_distance_10,6
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,5
infra_distance_8,5
infra_community_toilet_complex_excluding_bath_for_general_public,5
health_total_required_strength_doctors_support,4
social_distance,3
infra_other_pucca_roads,3
health_family_welfare_centre_doctors_in_position_numbers,1
health_family_welfare_centre_doctors_total_strength_numbers,1
edu_total_non_formal_training_centre_status_a_1_na_2,0
edu_total_medicine_college,0
edu_total_arts_and_science_degree_college,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
infra_tap_water_treated,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_mobile_health_clinic_numbers,0
health_family_welfare_centre_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_hospiltal_alternative_medicine_numbers,0
edu_total_school_for_disabled,0
health_tb_clinic_numbers,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
health_hospital_allopathic_numbers,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospiltal_alternative_medicine_doctors_in_position_numbers,0
irrig_waterfall_area_in_hectares,0
infra_kuchha_roads,0
